Year     ACE      Tropic St-   Cat 1-5 Hur  Cat 3-5 Hur 
1950     243      13           11           8           
1955     199      12           9            6           
1961     205      11           8            7           
1964     170      12           6            6           
1966     145      11           7            3           
1969     158      17           12           5           
1980     147      11           9            2           
1995     228      19           11           5           
1996     166      13           9            6           
1998     182      14           10           3           
1999     177      12           8            5           
2003     175      16           7            3           
2004     225      14           9            6           
2005     248      28           15           7           
2008     145      16           8            5           
1951     137      10           8            5           
The highest ACE index is, 248 in the year 2005 
